SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(C)Cl,False,C13H15ClN4O6,358.068,24
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(C)(O)O,False,C13H16N4O8,356.0968,25
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(O)CO,False,C13H16N4O8,356.0968,25
CC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1OC(=O)CO,False,C13H16N4O8,356.0968,25
COC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(C)O,False,C13H16N4O8,356.0968,25
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(C)(O)O,False,C13H18N4O8,358.1125,25
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(O)CO,False,C13H18N4O8,358.1125,25
CC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1OC(O)CO,False,C13H18N4O8,358.1125,25
CC(=O)O[C@H]1[C@@H](O)[C@H](n2c(C)nc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1C(C)O,False,C14H18N4O7,354.1175,25
CC(O)[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1OC(C)(C)O,False,C14H20N4O7,356.1332,25
CC(O)O[C@H]1[C@H]2OCc3nc4c(=O)[nH]c(=O)[nH]c4n3[C@@H]2O[C@@H]1CO,False,C13H16N4O7,340.1019,24
CC(O)O[C@H]1[C@@H](O)[C@H]2O[C@@H]1COCc1nc3c(=O)[nH]c(=O)[nH]c3n12,False,C13H16N4O7,340.1019,24
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@H](CO)[C@H]2OC(O)CO[C@H]21,False,C13H16N4O7,340.1019,24
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@@H]2COCC(O)O[C@H]2[C@H]1O,False,C13H16N4O7,340.1019,24
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@H](CO)[C@@H](OC(=O)CC(=O)O)[C@H]1O,False,C14H16N4O9,384.0917,27
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@H](CO)[C@@H](OC(=O)CO)[C@H]1O,False,C13H16N4O8,356.0968,25
COC(=O)O[C@H]1[C@@H](O)[C@H](n2c(C)nc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]1CO,False,C13H16N4O8,356.0968,25
Cc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@H](CO)[C@@H](OC(O)CO)[C@H]1O,False,C13H18N4O8,358.1125,25
CCc1nc2c(=O)[nH]c(=O)[nH]c2n1[C@@H]1O[C@H](CO)[C@@H](OC(C)=O)[C@H]1O,False,C14H18N4O7,354.1175,25
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@H]4OC[C@]43OCO)c2[nH]1,False,C12H14N4O7,326.0862,23
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@@H]4COC[C@]3(OCO)[C@@H]4O)c2[nH]1,False,C12H14N4O7,326.0862,23
C[C@]1(OCO)[C@@H]2O[C@]1(n1cnc3c(=O)[nH]c(=O)[nH]c31)O[C@@H]2CO,False,C12H14N4O7,326.0862,23
C[C@]1(OCO)[C@H](O)[C@H]2CO[C@]1(n1cnc3c(=O)[nH]c(=O)[nH]c31)O2,False,C12H14N4O7,326.0862,23
C[C@@]1(OCO)[C@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]2CO[C@]21O,False,C12H14N4O7,326.0862,23
C[C@]1(OCO)[C@@H]2O[C@@]2(CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C12H14N4O7,326.0862,23
C[C@]1(OCO)[C@H](O)[C@]2(CO2)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C12H14N4O7,326.0862,23
C[C@]1(OCO)[C@@H]2Oc3nc4c(=O)[nH]c(=O)[nH]c4n3[C@@H]1O[C@@H]2CO,False,C12H14N4O7,326.0862,23
C[C@]1(OCO)[C@H](O)[C@H]2COc3nc4c(=O)[nH]c(=O)[nH]c4n3[C@@H]1O2,False,C12H14N4O7,326.0862,23
C[C@]1(OCO)[C@@H]2OC(O)[C@H]2O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C12H14N4O7,326.0862,23
CO[C@@]1(C)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C12H16N4O6,312.107,22
C[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@@](C)(OC=O)[C@@H]1O,False,C12H14N4O6,310.0913,22
C[C@]1(OC=O)[C@H](O)[C@@H](C(=O)O)O[C@H]1n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C12H12N4O8,340.0655,24
O=c1[nH]c(=O)c2ncn([C@]34CO[C@@H]([C@H]3OCO)[C@@H](CO)O4)c2[nH]1,False,C12H14N4O7,326.0862,23
O=c1[nH]c(=O)c2ncn([C@@]34COC[C@@H](O3)[C@@H](O)[C@H]4OCO)c2[nH]1,False,C12H14N4O7,326.0862,23
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](CO)[C@H]2O[C@]21OCO,False,C12H14N4O7,326.0862,23
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]2CO[C@]1(OCO)[C@@H]2O,False,C12H14N4O7,326.0862,23
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]2CO[C@@]2(O)[C@H]1OCO,False,C12H14N4O7,326.0862,23
C[C@@]12O[C@H](CO)[C@@H](Oc3nc4c(=O)[nH]c(=O)[nH]c4n31)[C@H]2OCO,False,C12H14N4O7,326.0862,23
C[C@@]12O[C@H](COc3nc4c(=O)[nH]c(=O)[nH]c4n31)[C@@H](O)[C@H]2OCO,False,C12H14N4O7,326.0862,23
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@]2(CO)O[C@H]2[C@H]1OCO,False,C12H14N4O7,326.0862,23
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@]2(CO2)[C@@H](O)[C@H]1OCO,False,C12H14N4O7,326.0862,23
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@@H]2C(O)O[C@H]2[C@H]1OCO,False,C12H14N4O7,326.0862,23
CO[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C)n1cnc2c(=O)[nH]c(=O)[nH]c21,False,C12H16N4O6,312.107,22
C[C@H]1O[C@](C)(n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](OC=O)[C@@H]1O,False,C12H14N4O6,310.0913,22
C[C@]1(n2cnc3c(=O)[nH]c(=O)[nH]c32)O[C@H](C(=O)O)[C@@H](O)[C@H]1OC=O,False,C12H12N4O8,340.0655,24
