SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CCO[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C12H14N4O5,294.0964,21
CC(O)O[C@H]1[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]2CO[C@]21OC(C)O,False,C14H18N4O7,354.1175,25
CC(O)OC(C)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C14H18N4O7,354.1175,25
CC(O)O[C@@]12OC[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@]2(C)O,False,C13H16N4O6,324.107,23
CC(O)O[C@@]12OC[C@]1(C)O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C13H16N4O6,324.107,23
CC(O)O[C@@]12OC[C@H]1O[C@](C)(n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C13H16N4O6,324.107,23
CC(O)O[C@@]12OC(C)[C@H]1O[C@@H](n1cnc3c(=O)[nH]cnc31)[C@@H]2O,False,C13H16N4O6,324.107,23
Cc1nc2c(=O)[nH]cnc2n1[C@@H]1O[C@@H]2CO[C@@]2(OC(C)O)[C@H]1O,False,C13H16N4O6,324.107,23
Cc1nc2c(ncn2[C@@H]2O[C@@H]3CO[C@@]3(OC(C)O)[C@H]2O)c(=O)[nH]1,False,C13H16N4O6,324.107,23
O=CO[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C11H10N4O6,294.06,21
CC(=O)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C12H12N4O6,308.0757,22
COC(C)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C13H16N4O6,324.107,23
CC(C)(O)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C13H16N4O6,324.107,23
CCC(O)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C13H16N4O6,324.107,23
CC(=O)OC(C)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C14H16N4O7,352.1019,25
CC(=O)O[C@]12OC[C@@H](O[C@H]1n1cnc3c(=O)[nH]cnc31)[C@H]2OC(C)O,False,C14H16N4O7,352.1019,25
CC(O)(O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2)C(=O)O,False,C13H14N4O8,354.0812,25
O=C(O)CC(O)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C13H14N4O8,354.0812,25
CC(Cl)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C12H13ClN4O5,328.0574,22
CC(O)(O)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C12H14N4O7,326.0862,23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2CO[C@]1(O)[C@@H]2OC(O)CO,False,C12H14N4O7,326.0862,23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2CO[C@]1(O)[C@@H]2O,False,C10H10N4O5,266.0651,19
CCO[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C12H14N4O5,294.0964,21
CC(O)O[C@@H]1[C@H]2CO[C@@]1(OC(C)O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C14H18N4O7,354.1175,25
CC(O)OC(C)O[C@@H]1[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C14H18N4O7,354.1175,25
CC(O)O[C@@]1(C)[C@H]2CO[C@@]1(O)[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C13H16N4O6,324.107,23
CC(O)O[C@@H]1[C@H]2CO[C@@]1(O)[C@@](C)(n1cnc3c(=O)[nH]cnc31)O2,False,C13H16N4O6,324.107,23
CC(O)O[C@H]1[C@@]2(O)OC[C@]1(C)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C13H16N4O6,324.107,23
CC(O)O[C@@H]1[C@@H]2O[C@@H](n3cnc4c(=O)[nH]cnc43)[C@]1(O)OC2C,False,C13H16N4O6,324.107,23
Cc1nc2c(=O)[nH]cnc2n1[C@@H]1O[C@@H]2CO[C@]1(O)[C@@H]2OC(C)O,False,C13H16N4O6,324.107,23
Cc1nc2c(ncn2[C@@H]2O[C@@H]3CO[C@]2(O)[C@@H]3OC(C)O)c(=O)[nH]1,False,C13H16N4O6,324.107,23
CC(O)(CO)O[C@@H]1[C@H]2O[C@H]1[C@H](n1cnc3c(=O)[nH]cnc31)O2,False,C12H14N4O6,310.0913,22
CC(O)O[C@@]1(CO)[C@@H]2O[C@@H](n3cnc4c(=O)[nH]cnc43)[C@@H]1O2,False,C12H14N4O6,310.0913,22
CC(O)O[C@@H]1[C@@H]2O[C@@H](n3cnc4c(=O)[nH]cnc43)[C@@]1(CO)O2,False,C12H14N4O6,310.0913,22
CC(O)O[C@@H]1[C@H]2O[C@H]1[C@@](CO)(n1cnc3c(=O)[nH]cnc31)O2,False,C12H14N4O6,310.0913,22
CC(O)O[C@@H]1[C@H]2O[C@H]1[C@H](n1c(CO)nc3c(=O)[nH]cnc31)O2,False,C12H14N4O6,310.0913,22
CC(O)O[C@@H]1[C@H]2O[C@H]1[C@H](n1cnc3c(=O)[nH]c(CO)nc31)O2,False,C12H14N4O6,310.0913,22
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2O[C@@H]1[C@@H]2OC(O)CCO,False,C12H14N4O6,310.0913,22
O=CO[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C11H10N4O6,294.06,21
CCO[C@H]1[C@H]2O[C@@]1(C=O)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C12H12N4O5,292.0808,21
COC(C)O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C13H16N4O6,324.107,23
CC(C)(O)O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C13H16N4O6,324.107,23
CCC(O)O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C13H16N4O6,324.107,23
CC(=O)OC(C)O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C14H16N4O7,352.1019,25
CC(O)(O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21)C(=O)O,False,C13H14N4O8,354.0812,25
O=C(O)CC(O)O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C13H14N4O8,354.0812,25
CC(Cl)O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C12H13ClN4O5,328.0574,22
CC(O)(O)O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C12H14N4O7,326.0862,23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@]2(CO)O[C@@H]1[C@@H]2OC(O)CO,False,C12H14N4O7,326.0862,23
CCO[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C12H14N4O5,294.0964,21
CC(O)O[C@H]1[C@H]2O[C@@]1(C)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C12H14N4O5,294.0964,21
CC(O)O[C@H]1[C@H]2O[C@@]1(C(=O)O)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C12H12N4O7,324.0706,23
CC(O)OC(C)O[C@H]1[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C14H18N4O7,354.1175,25
CC(O)O[C@]1(C)[C@H]2O[C@@]1(CO)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C13H16N4O6,324.107,23
CC(O)O[C@H]1[C@H]2O[C@@]1(C(C)O)O[C@H]2n1cnc2c(=O)[nH]cnc21,False,C13H16N4O6,324.107,23
CC(O)O[C@@H]1[C@]2(CO)O[C@@H](n3cnc4c(=O)[nH]cnc43)[C@@]1(C)O2,False,C13H16N4O6,324.107,23
CC(O)O[C@H]1[C@H]2O[C@@]1(CO)O[C@]2(C)n1cnc2c(=O)[nH]cnc21,False,C13H16N4O6,324.107,23
Cc1nc2c(=O)[nH]cnc2n1[C@@H]1O[C@]2(CO)O[C@@H]1[C@@H]2OC(C)O,False,C13H16N4O6,324.107,23
Cc1nc2c(ncn2[C@@H]2O[C@]3(CO)O[C@@H]2[C@@H]3OC(C)O)c(=O)[nH]1,False,C13H16N4O6,324.107,23
O=CO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C11H10N4O6,294.06,21
CC(=O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C12H12N4O6,308.0757,22
COC(C)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C13H16N4O6,324.107,23
CC(C)(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C13H16N4O6,324.107,23
CCC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C13H16N4O6,324.107,23
CC(=O)OC(C)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C14H16N4O7,352.1019,25
CC(=O)O[C@H]1[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]2(CO2)[C@H]1OC(C)O,False,C14H16N4O7,352.1019,25
CC(O)(O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2)C(=O)O,False,C13H14N4O8,354.0812,25
O=C(O)CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C13H14N4O8,354.0812,25
CC(Cl)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C12H13ClN4O5,328.0574,22
CC(O)(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C12H14N4O7,326.0862,23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@]2(CO2)[C@@H](OC(O)CO)[C@H]1O,False,C12H14N4O7,326.0862,23
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@]2(CO2)[C@@H](O)[C@H]1O,False,C10H10N4O5,266.0651,19
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]1(O)CO,False,C12H16N4O7,328.1019,23
CCO[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C12H14N4O5,294.0964,21
CC(O)O[C@H]1[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]2(CO2)[C@H]1OC(C)O,False,C14H18N4O7,354.1175,25
CC(O)OC(C)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C14H18N4O7,354.1175,25
CC(O)O[C@]1(C)[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C13H16N4O6,324.107,23
CC(O)O[C@H]1[C@@H](O)[C@H](n2cnc3c(=O)[nH]cnc32)O[C@]12OC2C,False,C13H16N4O6,324.107,23
CC(O)O[C@@H]1[C@]2(CO2)O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@@]1(C)O,False,C13H16N4O6,324.107,23
CC(O)O[C@H]1[C@@H](O)[C@@](C)(n2cnc3c(=O)[nH]cnc32)O[C@@]12CO2,False,C13H16N4O6,324.107,23
Cc1nc2c(=O)[nH]cnc2n1[C@@H]1O[C@@]2(CO2)[C@@H](OC(C)O)[C@H]1O,False,C13H16N4O6,324.107,23
Cc1nc2c(ncn2[C@@H]2O[C@@]3(CO3)[C@@H](OC(C)O)[C@H]2O)c(=O)[nH]1,False,C13H16N4O6,324.107,23
CC(O)(CO)O[C@@H]1CO[C@@]2(n3cnc4c(=O)[nH]cnc43)O[C@H]12,False,C12H14N4O6,310.0913,22
