SMILES,Is_Starter,SourceDirectories
CC=CC(C)c1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=C[C@@]1(c2c(C)cc(C#N)cc2F)CCc2cncn21,False,starter_00014
CC=CCc1cc(C#N)cc(F)c1[C@]1(C)CCc2cncn21,False,starter_00014
CC(C)=Cc1c(C#N)cc(C)c([C@H]2CCc3cncn32)c1F,False,starter_00014
CC=CCc1cc(C#N)c(C)c(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CC1Cc2cncn2[C@H]1c1c(C)cc(C#N)cc1F,False,starter_00014
CC=CCc1cc(C#N)cc(F)c1[C@H]1C(C)Cc2cncn21,False,starter_00014
CC(C)=CC1C[C@H](c2c(C)cc(C#N)cc2F)n2cncc21,False,starter_00014
CC=CCc1cc(C#N)cc(F)c1[C@H]1CC(C)c2cncn21,False,starter_00014
CC(C)=Cc1ncc2n1[C@@H](c1c(C)cc(C#N)cc1F)CC2,False,starter_00014
CC=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cnc(C)n21,False,starter_00014
CC(C)=Cc1ncn2c1CC[C@@H]2c1c(C)cc(C#N)cc1F,False,starter_00014
CC=CCc1cc(C#N)cc(F)c1[C@H]1CCc2c(C)ncn21,False,starter_00014
CC=C(C)Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CCC=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)C=Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
C=C(C)CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCC1=C([C@H]2CCc3cncn32)C(F)=CC(C#N)C1,False,starter_00014
CC(C)=CCC1=CC(C#N)CC(F)=C1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CC(C)c1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=C(C)Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CCC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1c(C#N)cc(F)c([C@H]2CCc3cncn32)c1CC=C(C)C,False,starter_00014
CC(C)=CCc1cc(C#N)c(CC=C(C)C)c(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCC(C)(C)C=Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
C=C(C)C(CC=C(C)C)Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=C(Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)C(=O)O,False,starter_00014
CC(C)=CC(C(=O)O)c1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1c(C(=O)O)c(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)c(C(=O)O)c(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)CC(=O)O,False,starter_00014
CC(C)=CC(O)c1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
