DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key,Canonical_SMILES
DB13980,,Copper Cu-64,13981-25-4,2MK2L64N0S,"Copper Cu-64 | Copper, Cu-64",RYGMFSIKBFXOCR-IGMARMGPSA-N,[64Cu]
DB13981,,Nomegestrol acetate,58652-20-3,83J78V5W05,"17-alpha-Acetoxy-6-methyl-19-nor-4,6-pregnadiene-3,20-dione | 17-alpha-Hydroxy-6-methyl-19-norpregna-4,6-diene-3,20-dione acetate | Nomegestrol acetate",IIVBFTNIGYRNQY-YQLZSBIMSA-N,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
DB13982,,Lutetium Lu-177,14265-75-9,BRH40Y9V1Q,177Lu | Lu 177 | Lu-177 | Lutetium Lu-177 | Lutetium-177,OHSVLFRHMCKCQY-NJFSPNSNSA-N,[177Lu]
DB13983,,"5,7,2′-trihydroxy-6,8-dimethoxyflavone",159359-22-5,,"5,7-Dihydroxy-2-(2-hydroxyphenyl)-6,8-dimethoxy-4H-1-benzopyran-4-one",JWOKGWICZPPYPX-UHFFFAOYSA-N,COc1c(O)c(OC)c2oc(-c3ccccc3O)cc(=O)c2c1O
DB13984,,Cyclopropane,75-19-4,99TB643425,Ciclopropano | Cyclopropan | Cyclopropane | Cyclopropanum | Trimethylene | Zyklopropan,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,C1CC1
DB13985,,Lutetium Lu 177 dotatate,437608-50-9,AE221IM3BB,(177Lu-DOTAOTyr3)Octreotate | [177]Lu-DOTA-TATE | [Lu-177]-DOTATATE | 177 Lu-DOTA-octreotate | 177 Lu-DOTA-TATE | 177Lu Dotatate | 177Lu-DOTA-octreotate | 177Lu-DOTA-TATE | 177Lu-DOTA-Tyr3-octreotate | 177Lu-DOTA0-Tyr3-Octreotate | 177Lu-dotatate | 177LuDOTA-TATE | Dotatate lutenium Lu-177 | Lu-177-DOTATATE | Lu-DOTA-TATE | Lu-DOTATATE | Lutetium (177Lu) Oxodotreotide | Lutetium dotatate Lu-177 | lutetium Lu 177 dotatate | Lutetium oxodotreotide Lu-177 | Lutetium[177Lu] Oxodotreotide,MXDPZUIOZWKRAA-PRDSJKGBSA-K,C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CN2CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(=O)O.[177Lu+3]
DB13987,,Strontium chloride,10476-85-4,EKE8PS9J6Z,strontium dichloride,AHBGXTDRMVNFER-UHFFFAOYSA-L,[Cl-].[Cl-].[Sr+2]
DB13988,,SB-269970,201038-74-6,KC8KP5XU6F,,HWKROQUZSKPIKQ-MRXNPFEDSA-N,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1
DB13989,,Epitizide,1764-85-8,5B266B85J1,Epithiazide | Epitizide | Epitizidum | Eptizida,RINBGYCKMGDWPY-UHFFFAOYSA-N,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCC(F)(F)F)NS2(=O)=O
DB13990,,Dipropyl-4-hydroxytryptamine,63065-88-3,KS597YAU98,"3-[2-(Dipropylamino)ethyl]-1H-indol-4-ol | 4-HO-DPT | 4-Hydroxy-N,N-dipropyltryptamine | 4-Hydroxydipropyltryptamine | Deprocin | Dipropyl-4-hydroxytryptamine",MZLRMPTVOVJXLW-UHFFFAOYSA-N,CCCN(CCC)CCc1c[nH]c2cccc(O)c12
