SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(O)O[C@@H]1[C@H](O)[C@@H](C)O[C@H]1n1cnc2c(N)ncnc21,False,C12H17N5O4,295.1281,21
CC(O)OC(C)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C14H21N5O6,355.1492,25
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OCO,False,C11H15N5O5,297.1073,21
CC(O)O[C@@]1(C)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H19N5O5,325.1386,23
CC(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C)n1cnc2c(N)ncnc21,False,C13H19N5O5,325.1386,23
CC(O)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@H](CO)[C@]1(C)O,False,C13H19N5O5,325.1386,23
CC(O)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@@](C)(CO)[C@H]1O,False,C13H19N5O5,325.1386,23
Cc1nc2c(N)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC(C)O,False,C13H19N5O5,325.1386,23
CC(O)O[C@@H]1[C@H](O)[C@@H](C(C)O)O[C@H]1n1cnc2c(N)ncnc21,False,C13H19N5O5,325.1386,23
Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3OC(C)O)c2n1,False,C13H19N5O5,325.1386,23
CC(C)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H19N5O4,309.1437,22
CCCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H19N5O4,309.1437,22
CC(O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21)C(=O)O,False,C13H17N5O6,339.1179,24
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OCCC(=O)O,False,C13H17N5O6,339.1179,24
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OCCO,False,C12H17N5O5,311.123,22
CCO[C@@H]1[C@H](O)[C@@H](C)O[C@H]1n1cnc2c(N)ncnc21,False,C12H17N5O3,279.1331,20
CCO[C@@H]1[C@H](O)[C@@H](C(=O)O)O[C@H]1n1cnc2c(N)ncnc21,False,C12H15N5O5,309.1073,22
CCO[C@@]1(C)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H19N5O4,309.1437,22
CCO[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C)n1cnc2c(N)ncnc21,False,C13H19N5O4,309.1437,22
CCO[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@H](CO)[C@]1(C)O,False,C13H19N5O4,309.1437,22
CCO[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@@](C)(CO)[C@H]1O,False,C13H19N5O4,309.1437,22
CCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1c(C)nc2c(N)ncnc21,False,C13H19N5O4,309.1437,22
CCO[C@@H]1[C@H](O)[C@@H](C(C)O)O[C@H]1n1cnc2c(N)ncnc21,False,C13H19N5O4,309.1437,22
CCO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)nc(C)nc21,False,C13H19N5O4,309.1437,22
CC[C@]1(OC=O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H17N5O5,323.123,23
CC[C@]1(n2cnc3c(N)ncnc32)O[C@H](CO)[C@@H](O)[C@H]1OC=O,False,C13H17N5O5,323.123,23
CC[C@]1(O)[C@@H](CO)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]1OC=O,False,C13H17N5O5,323.123,23
CC[C@@]1(CO)O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC=O)[C@@H]1O,False,C13H17N5O5,323.123,23
CCc1nc2c(N)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC=O,False,C13H17N5O5,323.123,23
CCc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3OC=O)c2n1,False,C13H17N5O5,323.123,23
CCC1(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O1)[C@@H]2O,False,C13H17N5O5,323.123,23
CCC1=Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O1,False,C13H15N5O4,305.1124,22
CC1O[C@H]2[C@@H](OC1O)[C@H](n1cnc3c(N)ncnc31)O[C@@H]2CO,False,C13H17N5O5,323.123,23
CC1OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](OC1O)[C@@H]2O,False,C13H17N5O5,323.123,23
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H]2OCCC(O)O[C@H]21,False,C13H17N5O5,323.123,23
Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COCCC(O)O[C@@H]1[C@@H]2O,False,C13H17N5O5,323.123,23
C=CC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H15N5O5,321.1073,23
CC(C)C(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C14H19N5O5,337.1386,24
CCCC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C14H19N5O5,337.1386,24
CCC(O)(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C14H18N6O5,350.1339,25
CCC(N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H20N6O4,324.1546,23
CC(O)C(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H17N5O6,339.1179,24
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC(=O)CCO,False,C13H17N5O6,339.1179,24
CCOC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H17N5O6,339.1179,24
CC(O)C(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H19N5O6,341.1335,24
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC(O)CCO,False,C13H19N5O6,341.1335,24
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC(=O)O,False,C11H13N5O6,311.0866,22
CCC(=O)O[C@@H]1[C@H](O)[C@@H](C)O[C@H]1n1cnc2c(N)ncnc21,False,C13H17N5O4,307.1281,22
CCC(=O)[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H17N5O4,307.1281,22
CCC(=O)O[C@@H]1[C@H](O)[C@@H](C(=O)O)O[C@H]1n1cnc2c(N)ncnc21,False,C13H15N5O6,337.1022,24
CCCCC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C15H21N5O5,351.1543,25
CCC(C)C(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C15H21N5O5,351.1543,25
CCC(=O)O[C@@]1(C)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C14H19N5O5,337.1386,24
CCC(=O)O[C@@]1(CC)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C15H21N5O5,351.1543,25
CCC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C)n1cnc2c(N)ncnc21,False,C14H19N5O5,337.1386,24
CCC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(CC)n1cnc2c(N)ncnc21,False,C15H21N5O5,351.1543,25
CCC(=O)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@H](CO)[C@]1(C)O,False,C14H19N5O5,337.1386,24
CCC(=O)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@H](CO)[C@@]1(O)CC,False,C15H21N5O5,351.1543,25
CCC(=O)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@@](C)(CO)[C@H]1O,False,C14H19N5O5,337.1386,24
CCC(=O)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@@](CC)(CO)[C@H]1O,False,C15H21N5O5,351.1543,25
CCC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1c(C)nc2c(N)ncnc21,False,C14H19N5O5,337.1386,24
CCC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1c(CC)nc2c(N)ncnc21,False,C15H21N5O5,351.1543,25
CCC(=O)O[C@@H]1[C@H](O)[C@@H](C(C)O)O[C@H]1n1cnc2c(N)ncnc21,False,C14H19N5O5,337.1386,24
CCC(=O)O[C@@H]1[C@H](O)[C@@H](C(O)CC)O[C@H]1n1cnc2c(N)ncnc21,False,C15H21N5O5,351.1543,25
CCC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)nc(C)nc21,False,C14H19N5O5,337.1386,24
CCC(=O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)nc(CC)nc21,False,C15H21N5O5,351.1543,25
N#CCC(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H16N6O5,336.1182,24
CC(O)O[C@@]1(C#N)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H16N6O5,336.1182,24
C[C@]1(OC(O)C#N)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H16N6O5,336.1182,24
