SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
COCCC1OC(=O)C=C1N,False,C7H11NO3,157.0739,11
CC(=O)NC1=CC(=O)OC1CCO,False,C8H11NO4,185.0688,13
CC(=O)OCCC1OC(=O)C=C1N,False,C8H11NO4,185.0688,13
NC1=CC(=O)OC1CCCl,False,C6H8ClNO2,161.0244,10
NC1=CC(=O)OC1CC(O)O,False,C6H9NO4,159.0532,11
NC1=CC(O)OC1CC(O)O,False,C6H11NO4,161.0688,11
NC1=CC(O)OC1C(O)CO,False,C6H11NO4,161.0688,11
CCC1OC(=O)C=C1N,False,C6H9NO2,127.0633,9
NC1=CC(=O)OC1(CO)CCO,False,C7H11NO4,173.0688,12
NC1=C(CO)C(=O)OC1CCO,False,C7H11NO4,173.0688,12
NC1=CC(=O)OC1CCC=O,False,C7H9NO3,155.0582,11
CC1(CC=O)OC(=O)C=C1N,False,C7H9NO3,155.0582,11
CCC1(C=O)OC(=O)C=C1N,False,C7H9NO3,155.0582,11
CC1=C(N)C(CC=O)OC1=O,False,C7H9NO3,155.0582,11
CCC1OC(=O)C(C=O)=C1N,False,C7H9NO3,155.0582,11
CC1C=NC2=CC(=O)OC21,False,C7H7NO2,137.0477,10
C=C(C=O)C1OC(=O)C=C1N,False,C7H7NO3,153.0426,11
CC(=C=O)C1OC(=O)C=C1N,False,C7H7NO3,153.0426,11
CC(C)(C=O)C1OC(=O)C=C1N,False,C8H11NO3,169.0739,12
CCC(C=O)C1OC(=O)C=C1N,False,C8H11NO3,169.0739,12
CC(=O)C(C)C1OC(=O)C=C1N,False,C8H11NO3,169.0739,12
CC(=O)NC1=CC(=O)OC1C(C)C=O,False,C9H11NO4,197.0688,14
CC(C(O)C#N)C1OC(=O)C=C1N,False,C8H10N2O3,182.0691,13
CC(CN)C1OC(=O)C=C1N,False,C7H12N2O2,156.0899,11
CC(O)(C=O)C1OC(=O)C=C1N,False,C7H9NO4,171.0532,12
NC1=CC(=O)OC1C(C=O)CO,False,C7H9NO4,171.0532,12
CC(C(=O)O)C1OC(=O)C=C1N,False,C7H9NO4,171.0532,12
CC(OC=O)C1OC(=O)C=C1N,False,C7H9NO4,171.0532,12
CC(C(=O)O)C1OC(O)C=C1N,False,C7H11NO4,173.0688,12
CC(O)(CO)C1OC(=O)C=C1N,False,C7H11NO4,173.0688,12
CC(O)(C=O)C1OC(O)C=C1N,False,C7H11NO4,173.0688,12
NC1=CC(O)OC1C(C=O)CO,False,C7H11NO4,173.0688,12
CC(C=O)(C=O)C1OC(=O)C=C1N,False,C8H9NO4,183.0532,13
NC1=CC(=O)OC1C(C=O)CC=O,False,C8H9NO4,183.0532,13
CC(C=O)C1(C)OC(=O)C=C1N,False,C8H11NO3,169.0739,12
CC(C=O)C1(C=O)OC(=O)C=C1N,False,C8H9NO4,183.0532,13
CC(C(=O)C=O)C1OC(=O)C=C1N,False,C8H9NO4,183.0532,13
