starter_idx,starter_smiles,status,num_molecules,num_targets,time_seconds,error
118,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1,success,95,79,101.61,
119,O=c1[nH]cnc2c1nc(Br)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,success,282,263,300.61,
120,CC(C)C(=O)Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,2338,2316,3135.92,
121,O.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Na+].[Na+],success,42,26,50.05,
122,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1NC=O,success,249,231,204.72,
123,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1N,success,544,526,655.68,
124,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1,success,208,189,286.98,
125,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1,success,68,52,99.73,
126,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])[O-])O1,success,168,149,229.87,
127,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,success,72,56,78.09,
128,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,success,106,90,131.12,
129,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,74,58,98.46,
130,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,111,95,115.02,
131,COc1nc2c(=O)[nH]c(N)nc2n1[C@H]1C[C@H](O)[C@@H](CO)O1,success,344,325,291.35,
132,C[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O,success,131,112,117.23,
133,Nc1nc2c(nc(N)n2C2OC(CO)C(O)C2O)c(=O)[nH]1,success,404,385,356.75,
134,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H]1O,success,74,56,72.1,
135,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.[Na+].[Na+].[Na+],success,42,26,41.16,
136,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)[nH]1,success,55,39,59.31,
137,Cn1c[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,78,62,66.86,
138,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@H]3OP(O)(=S)O[C@H]32)c(=O)[nH]1,success,192,173,225.19,
139,Nc1nc2c(ncn2[C@H]2C[C@H](OP(=O)(O)O)[C@@H](CO)O2)c(=O)[nH]1,failed,202,183,289.89,min() arg is an empty sequence
140,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,success,89,70,96.91,
141,CNP(=O)(O)NP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,success,116,99,173.67,
142,Cn1c(N)nc2c(c1=O)n(C)c[n+]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1[O-],success,303,284,302.21,
143,Cn1c[n+](C2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc[nH]c(=O)c21,success,352,333,309.65,
144,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OP(=O)(O)O,success,123,105,197.18,
145,CCCC[N+](CCCC)(CCCC)CCCC.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@H]1O,success,42,26,48.78,
146,Cn1c[n+]([C@@H]2O[C@H](COP(O)(=S)OP(=O)([O-])OP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,63,47,62.33,
147,COC1C(CO)OC(n2cnc3c(=O)[nH]cnc32)C1O,failed,271,252,262.44,min() arg is an empty sequence
148,O=c1[nH]cnc2c1ncn2C1OCC(O)C(O)C1O,success,220,201,195.12,
149,Cn1c(=O)c2c(ncn2C2O[C@H](CO)[C@@H](O)[C@H]2O)n(C)c1=O,success,254,235,204.7,
150,CCCCn1c(=O)c2c(ncn2C2O[C@H](CO)[C@@H](O)[C@H]2O)n(CCCC)c1=O,success,42,26,45.39,
151,N#C[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,success,277,258,329.38,
152,N#C[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,failed,277,258,255.23,min() arg is an empty sequence
153,NCC1OC(n2cnc3c(=O)[nH]c(N)nc32)C(O)C1O,success,217,198,207.32,
154,[N-]=[N+]=NC1CC(n2cnc3c(=O)[nH]c(N)nc32)OC1CO,success,42,26,25.72,
155,COC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,failed,306,287,281.22,min() arg is an empty sequence
156,C[C@]1(O)C(n2cnc3c(=O)[nH]cnc32)O[C@H](CO)[C@H]1O,success,304,285,259.22,
157,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(O)(O)=S)[C@@H](O)[C@H]1O,success,79,63,119.5,
158,Cn1c[n+]([C@@H]2O[C@H](COP(=O)([O-])O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,success,230,212,346.83,
159,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@@H]3[C@H]2O)c(=O)[nH]1,success,124,105,122.89,
160,O=c1[nH]c(=O)c2ncn([C@H]3CC[C@@H](CO)O3)c2[nH]1,success,124,105,161.3,
161,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1F,success,846,827,747.32,
162,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)C[C@@H]1F,success,134,115,134.49,
163,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(=O)[nH]c(N)nc21,success,304,285,252.08,
164,Nc1nc2c(ncn2[C@H]2C[C@H](N)[C@@H](CO)O2)c(=O)[nH]1,success,235,216,199.88,
165,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](F)[C@H]2O)c(=O)[nH]1,success,55,39,60.74,
166,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,success,119,101,219.73,
167,Nc1nc2c(ncn2[C@@H]2CO[C@H](CO)[C@@H](O)C2)c(=O)[nH]1,success,314,295,274.38,
168,Nc1nc2c(nc(N)n2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,success,320,301,286.02,
169,[N-]=[N+]=N[C@]1(CO)O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)C[C@@H]1O,success,42,26,32.12,
170,Nc1nc2c(ncn2[C@H]2C[C@@H](F)[C@@H](CO)O2)c(=O)[nH]1,success,182,163,183.54,
171,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](F)[C@@H](CO)O1,success,134,115,138.09,
172,[N-]=[N+]=N[C@H]1C[C@H](n2cnc3c(=O)[nH]cnc32)O[C@@H]1CO,success,42,26,28.36,
173,[N-]=[N+]=N[C@]1(CO)O[C@@H](n2cnc3c(=O)[nH]cnc32)C[C@@H]1O,success,42,26,25.49,
174,O=c1[nH]c(F)nc2c1ncn2[C@H]1CC[C@@H](CO)O1,failed,123,104,137.22,min() arg is an empty sequence
175,Nc1nc2c(ncn2C2CO[C@H](CO)[C@H]2CO)c(=O)[nH]1,success,538,519,421.26,
176,NC(=O)c1ncn(C2OC(CO)C(O)C2O)c1N,success,987,968,788.67,
177,Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,success,135,117,259.85,
178,O=c1[nH]cnc2c1ncn2C1CC(O)C(CO)O1,failed,235,216,217.23,min() arg is an empty sequence
179,Nc1nc2c(nc(Br)n2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,success,260,241,227.34,
180,CN(C)/C=N/c1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,327,308,374.62,
181,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(O)(=S)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,success,95,79,77.17,
182,COC1C(O)C(CO)OC1n1cnc2c(=O)[nH]c(N)nc21,success,336,317,306.57,
183,Nc1nc2c(ncn2[C@H]2C[C@@H](O)[C@@H](CO)O2)c(=O)[nH]1,success,287,268,277.54,
184,COc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,success,368,349,277.99,
185,CCNc1nc2c(ncn2C2CC(O)C(CO)O2)c(=O)[nH]1,success,1112,1091,970.66,
186,Nc1nc2c(ncn2[C@H]2O[C@@H]3COP(=O)(O)O[C@H]3[C@H]2O)c(=O)[nH]1,success,124,105,119.15,
187,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,success,73,57,75.25,
